,Character,Message
4150,SPOCK,"And showing on my sensors, Captain. At least it's still there."
4151,UHURA,"Sir, regaining contact with Outpost four. Switching to speakers."
4152,HANSEN,"Outpost four. Do you read me, Enterprise? This is Commander Hansen."
4153,KIRK,"Kirk here. We're minutes away, Hansen. What's your status?"
4154,HANSEN,"Outposts two, three, and eight are gone. Unknown weapon. Completely destroyed, even though we were alerted. Had our deflector shield on maximum. Hit by enormous power. First attack blew our deflector shield. If they hit us again with our deflector shield gone. Do you read me, Enterprise?"
4155,KIRK,"Confirm what hit you, Hansen. What vessel? Identity?"
4156,HANSEN,"Space vessel, only glimpse of."
4157,KIRK,Can you locate the intruder for us?
4158,HANSEN,Negative. It seems to have disappeared somehow. I have you on my screen now. Switching to visual.
4159,KIRK,Tie us in.
4160,UHURA,"Tied in, sir."
4161,HANSEN,"Enterprise, can you see it? My command post here. We're a mile deep on an asteroid. Almost solid iron. And even through our deflectors, it did this. Can you see?"
4162,KIRK,"Affirmative. You're visual, Hansen. What do you have on the intruder?"
4163,HANSEN,"No identification. No answer to our challenge. Only a glimpse of it. Then they fired something at us, some form of high-energy plasma. Fantastic power. And then the whole vessel disappeared. But it's out there somewhere. Our sensors show that much. Enterprise, something coming on our viewing screen, coming at us fast."
4164,KIRK,Lock us onto your screen.
4165,HANSEN,"Switching. Can you see it, Enterprise? Can you see it? It's becoming visible in the centre of my screen."
4166,KIRK,Do you have phaser capacity? We're still out of range.
4167,HANSEN,Negative. Phasers gone. Weapons crew dead.
4168,KIRK,Make a challenge. Warn that ship off.
4169,UHURA,"Trying to, sir. They don't acknowledge."
4170,SPOCK,"Outpost four disintegrated, Captain."
4171,KIRK,"Position of the intruder, Mister Spock."
4172,SPOCK,Disappeared. Interesting how they became visible for just a moment.
4173,KIRK,When they opened fire. Perhaps necessary when they use their weapon. SPOCK: I have a blip on the motion sensor. Could be the intruder.
4174,KIRK,Go to full magnification.
4175,SULU,"Screen is on full mag, sir."
4176,KIRK,I don't see anything. I can't understand it.
4177,SPOCK,"Invisibility is theoretically possible, Captain, with selective bending of light. But the power cost is enormous."
4178,UHURA,"Continuing to challenge, sir. Still no response."
4179,KIRK,Discontinue. Contact remaining outposts. Have them signal us any sightings or sensor readings in their area.
4180,UHURA,"Yes, sir."
4181,SPOCK,Blip has changed its heading. And in a very leisurely manoeuvre. They may not be aware of us.
4182,KIRK,"Their invisibility screen may work both ways. With that kind of power consumption, they may not be able to see us."
4183,SPOCK,"His heading is now one eleven mark fourteen. The exact heading a Romulan would take, Jim, for the Neutral Zone and home."
4184,KIRK,Parallel course.
4185,STILES,"Don't you mean interception course, sir?"
4186,KIRK,"Negative. You and Mister Sulu will match its course and speed with the object on our sensors exactly, move for move. If he has sensors, I want him to think we're a reflection, an echo. Under no circumstances are you to cross into the Neutral Zone without my direct orders."
4187,SULU,"Acknowledged, sir."
4188,KIRK,"Cancel battle stations. All decks, standby alert."
4189,SULU,Cancel battle stations.
4190,STILES,"Captain, may I respectfully remind the Captain what has happened? The Romulans have crossed the Neutral Zone, attacked our outposts, killed our men."
4191,KIRK,Mister Stiles.
4192,STILES,Add to that the fact it was a sneak attack.
4193,KIRK,"Mister Stiles, are you questioning my orders?"
4194,STILES,"Negative, sir. I'm pointing our that we could have Romulan spies aboard this ship."
4195,SULU,"I agree, sir. Respectfully recommend all decks maintain security alert."
4196,KIRK,"Very well. All decks, security alert."
4197,SULU,"Security alert, sir."
4198,UHURA,Picking up communication. It's from their ship.
4199,KIRK,Pipe it in.
4200,UHURA,"Sounds like code, sir."
4201,SPOCK,"I have a fix on it, Captain. I believe I can lock on it, get a picture of their Bridge."
4202,KIRK,Put it on the screen.
4203,KIRK,Decoding?
4204,UHURA,"Cryptography is working on it, sir."
4205,STILES,Give it to Spock.
4206,KIRK,"I didn't quite get that, Mister Stiles."
4207,STILES,"Nothing, sir."
4208,KIRK,Repeat it.
4209,STILES,"I was suggesting that Mister Spock could probably translate it for you, sir."
4210,KIRK,I assume you're complimenting Mister Spock on his ability to decode.
4211,STILES,"I'm not sure, sir."
4212,KIRK,"Well, here's one thing you can be sure of, Mister. Leave any bigotry in your quarters. There's no room for it on the Bridge. Do I make myself clear?"
4213,STILES,"You do, sir."
4214,UHURA,"Transmission has been cut off.  I made a tape of it, sir."
4215,SPOCK,Very well.
4216,SULU,"Something visual ahead, Captain, at extreme range. He's changing course, sir."
4217,KIRK,"Stay with him, helm."
4218,SULU,"Turning, sir."
4219,COMMANDER,We grow visible. Attend the cloaking system.
4220,ROMULAN,"It consumes much power, Commander. With no enemy to concern us."
4221,COMMANDER,That Earth outpost called to an Earth vessel. Now it follows us.
4222,ROMULAN,"Which neither retreats nor grows nearer. It turns as we turn. Commander, it is our judgment we run from a reflection."
4223,COMMANDER,"Perhaps so, but my judgment prevails."
4224,ROMULAN,"Cloaking system on, sir."
4225,COMMANDER,It is good we approach the Neutral Zone. Not too soon for me to see the stars of home. I know they are following.
4226,CENTURION,"If an Earth ship, why does he not attack?"
4227,COMMANDER,"First study the enemy, seek weakness. If I were their commander, that is what I would do."
4228,DECIUS,My Commander sent for Decius.
4229,COMMANDER,A message was dispatched. You've broken the rule of silence.
4230,DECIUS,"Only in code, Commander. To inform our Praetor of this glorious mission."
4231,COMMANDER,Your carelessness might have ended this glorious mission. You're reduced two steps in rank. Return to post.
4232,CENTURION,"Take care, Commander. He has friends, and friends of his kind mean power. And power is danger."
4233,COMMANDER,Danger and I are old companions.
4234,CENTURION,"We've seen a hundred campaigns together, and still I do not understand you."
4235,COMMANDER,"I think you do. No need to tell you what happens when we reach home with proof of the Earthmen's weakness. And we will have proof. The Earth commander will follow. He must. When he attacks, we will destroy him. Our gift to the homeland, another war."
4236,CENTURION,"If we are the strong, isn't this the signal for war?"
4237,COMMANDER,Must it always be so? How many comrades have we lost in this way?
4238,CENTURION,"Our portion, Commander, is obedience."
4239,COMMANDER,"Obedience. Duty. Death and more death. Soon even enough for the Praetor's taste. Centurion, I find myself wishing for destruction before we can return. Worry not. Like you, I am too well-trained in my duty to permit it. Continue evasive manoeuvres. Now, back to the first course."
4240,SPOCK,"Steady on one eleven mark fourteen. Back on their original course, Captain, toward the Neutral Zone."
4241,KIRK,"What's our position, navigator?"
4242,STILES,"We'll enter the Neutral Zone in less than an hour, sir. Assuming, of course, that we don't turn back."
4243,SCOTT,"We now have aboard debris from Outpost four, Captain."
4244,KIRK,"Bring it to the briefing room. Are you ready, gentlemen?"
4245,SPOCK,Lab theorises an enveloping energy plasma forcing an implosion.
4246,KIRK,Comments?
4247,SPOCK,"Obviously, their weaponry is superior to ours, and they have a practical invisibility screen."
4248,MCCOY,You're discussing tactics. Do you realise what this really comes down to? Millions and millions of lives hanging on what this vessel does.
4249,SPOCK,"Or on what this vessel fails to do, Doctor."
4250,KIRK,"Yes, well gentlemen, the question still remains. Can we engage them with a reasonable possibility of victory?"
4251,SCOTT,No question. Their power is simple impulse.
4252,KIRK,Meaning we can outrun them?
4253,STILES,"To be used in chasing them or retreating, sir?"
4254,KIRK,"Go ahead, Mister Styles. I called this session for opinions."
4255,STILES,We have to attack immediately.
4256,KIRK,Explain.
4257,STILES,They're still on our side of the Neutral Zone. There would be no doubt they broke the treaty.
4258,SULU,"Attack, without a visible target? How do we aim our phasers?"
4259,STILES,"Aim with sensors. Not accurate, but if we blanket them"
4260,SULU,And hope for a lucky shot before they zero in on us?
4261,STILES,"And if we don't? Once back, they'll report that we saw their weapons and ran."
4262,SULU,And if they could report they destroyed us?
4263,STILES,"These are Romulans! You run away from them and you guarantee war. They'll be back. Not just one ship but with everything they've got. You know that, Mister Science Officer. You've the expert on these people, always left out that one point. Why? I'm very interested in why."
4264,KIRK,"Sit down, Mister."
4265,SPOCK,I agree. Attack.
4266,KIRK,Are you suggesting we fight to prevent a fight?
4267,MCCOY,Based on what? Memories of a war over a century ago? On theories about a people we've never even met face to face?
4268,STILES,We know what they look like.
4269,SPOCK,"Yes, indeed we do, Mister Stiles. And if Romulans are an offshoot of my Vulcan blood, and I think this likely, then attack becomes even more imperative."
4270,MCCOY,"War is never imperative, Mister Spock."
4271,SPOCK,"It is for them, Doctor. Vulcan, like Earth, had its aggressive colonising period. Savage, even by Earth standards. And if Romulans retain this martial philosophy, then weakness is something we dare not show."
4272,SPOCK,Do you want a galactic war on your conscience?
4273,KIRK,Captain to Bridge.
4274,UHURA,"This is Uhura, Captain."
4275,KIRK,What's our position?
4276,UHURA,"Course unchanged, sir. Estimating treaty boundary in twenty one minutes."
4277,KIRK,Are you continuing to broadcast tactical reports?
4278,UHURA,"Affirmative, Captain."
4279,KIRK,And at this distance?
4280,UHURA,Approximately three hours before receiving a reply to our first message.
4281,KIRK,"Thank you, Lieutenant. Check our course ahead, Mister Spock."
4282,SPOCK,"A comet, magnitude seven, dead ahead, and the intruder changing course toward it."
4283,KIRK,Comet Icarus four. Composition?
4284,SPOCK,"Quite ordinary. An ionised mass, a trail of frozen vapour particles."
4285,KIRK,"And when an object passes through it, even an invisible object?"
4286,SPOCK,It leaves a visible trail.
4287,KIRK,"Our chance, gentlemen. Prepare to attack. All hands, battle stations. I hope we won't need your services, Bones."
4288,MCCOY,"Amen to that. We're taking a big gamble, Jim."
4289,SULU,"All stations manned, Captain."
4290,STILES,Phaser weapons energised. Set for proximity blast.
4291,SPOCK,Intruder now bearing directly for comet's tail.
4292,KIRK,"Plot his exact point of entry, Mister Stiles."
4293,STILES,"Computed. On the board, sir."
4294,KIRK,"The moment he begins entering the comet's tail, he becomes visible. End run, gentlemen. We'll swing around the other side and catch him at that moment."
4295,SULU,"Acknowledged, Captain."
4296,SPOCK,"He's maintaining that bearing, Captain."
4297,KIRK,"Let's get him, Mister Sulu."
