Speaker,Dialogue
TRELANE,"Surely not an officer. He isn't quite human, is he?"
SPOCK,My father is from the planet Vulcan.
TRELANE,And are its natives predatory?
SPOCK,Not generally. But there have been exceptions.
TRELANE,Really? You will see to his punishment?
KIRK,On the contrary. I commend his action.
TRELANE,But I don't like him.
KIRK,Get off my ship.
TRELANE,"Oh, rot! You're all going back with me."
KIRK,We're not going anywhere.
TRELANE,Nonsense. I have an absolutely enchanting sojourn on Gothos
TRELANE,And tasteful. Don't you agree?
SULU,No.
TRELANE,"But so much more fitting, honourable sir."
DESALLE, You
KIRK,DeSalle.
TRELANE,"Oh, what primitive fury. Why, he's the very soul of sublime"
KIRK,"Trelane, let him go."
SULU,We haven't even got our phasers.
TRELANE,"Yes, of course. I forget that I shouldn't frighten you too"
KIRK,This is General Trelane.
TRELANE,"Retired. But if you prefer, you may address me as the lonely"
KIRK,Lieutenant Uhura of communications.
TRELANE,Ah a Nubian prize.  Taken on one of your
KIRK,No doubt.
TRELANE,She has the melting eyes of the queen of Sheba. The same
KIRK, Yeoman Teresa Ross. I believe you have met
TRELANE,"You do realise, don't you, that it's in deference to the"
SPOCK,Affirmative.
TRELANE,I don't know if I like your tone. It's most challenging.
SPOCK,I object to you. I object to intellect without discipline. I
TRELANE,"Oh, Mister Spock, you do have one saving grace after all."
UHURA,I don't know how to play this.
TRELANE,Of course you do.
SULU,"Captain, how far do we go along with this charade?"
KIRK,"Until we can think our way out. Meanwhile, we accept his"
MCCOY,You should taste his food. Straw would taste better than his
SPOCK,"It may be unappetizing, Doctor, but it is very logical."
MCCOY,There's that magic word again. Does your logic find this
SPOCK,"Fascinating is a word I use for the unexpected. In this case, I"
KIRK,"You don't find this unexpected, Mister Spock?"
SPOCK,"That his food has no taste, his wine no flavour? No. It simply"
KIRK,"And if he's fallible, he can't be all powerful. Which means he"
SPOCK,Evidently.
KIRK,A machine? A device? Something which does these things for him.
TRELANE,"Ah, my dear, don't we make a graceful pair? Except for one"
TRELANE,"Ah, yes, that's more what we want. The dashing warrior and his"
KIRK,"That mirror. It's part of his audience, his ego. He never wanders"
SPOCK,"Is it ego, or something else?"
KIRK,Explain.
SPOCK,The mirror.
KIRK,What about it?
SPOCK,You noted yourself he never gets very far from it. I suppose it
KIRK,"No, no, Mister Spock, that's not the reason. What kind of a"
SPOCK,A machine with the ability to turn energy into matter guided by
SPOCK,I think not. A device capable of keeping out this planet's
KIRK,Good. I agree. That leaves me free
SPOCK,"Free, Captain?"
KIRK,"If I'm not mistaken, Mister Spock, I think I can turn his lights"
TRELANE,"I overheard that remark, Captain. I'm afraid I'll have to"
KIRK,You only heard part of it. I just started.
TRELANE,Oh?
KIRK,Yes. I want you to leave my crewmen alone. I want you to leave my
TRELANE,"Does it actually make you angry, Captain?"
KIRK, I don't want you accepting his
ROSS,"Captain, please don't do this."
TRELANE,"Well, I do believe the dear Captain is jealous of me."
KIRK,"I don't care what you believe, just keep your hands off her!"
TRELANE,"Oh, how curiously human. How wonderfully barbaric."
KIRK,I've had enough of your insulting attentions to her.
TRELANE,"Of course you have. After all, that's the root of the matter,"
KIRK,"If it's fighting that you want,  you may have it."
TRELANE,Are you challenging me to a duel?
KIRK,If you have the courage.
TRELANE,"Oh, this is better than I'd planned. I shall not shirk an"
TRELANE,A matched set. Just like the pair that slew your heroic
TRELANE,"Oh, how fascinating. I'm party to an"
KIRK,Are you ready?
TRELANE,"Quite ready, sir. We shall test each other's courage and then,"
KIRK,Enough talk. Let's get on with it.
TRELANE,"As you will, sir. Honour will be served, eh? Oh, wait! As the"
KIRK,We shoot together.
TRELANE,"It's my game and my rules, but if you need to be persuaded."
KIRK,All right.
SPOCK,Captain.
TRELANE,"And now, Captain, how do you have the expression? My fate is"
TRELANE,You've ruined everything!
SPOCK,The machine.
DESALLE,"Captain, subspace interference is clearing."
KIRK,Try to contact the ship.
TRELANE,"Oh, the remarkable treachery of the species."
KIRK,"Go on, Trelane. Look at it. It's over. Your power is blanked out."
TRELANE,"You've earned my wrath. Go back. Go back to your ship, all of"
KIRK,"Trelane! Everyone, we're getting out of here. Now. This is the"
KIRK,Set course for Colony Beta Six.
SULU,"Laid in, sir."
KIRK,"Full power acceleration from orbit, Mister Scott."
KIRK,"Emergency warp at the earliest possible moment, Mister Sulu."
SULU,"Standing by to warp, sir."
UHURA,"Shall I make a full report to Spacefleet Command, sir?"
KIRK,Not yet. They may trace our beam. Wait until we're well out of
SPOCK,"Can we know his range is, Captain?"
KIRK,We can take an educated guess. At the point we entered their
UHURA,"Still no sign of pursuit. Instruments clear, sir."
KIRK,Good.
ROSS,May I take a moment to change?
KIRK,"Yes, I think you might. Turn in your glass slippers. The ball is"
ROSS,"Gladly, Captain."
KIRK,Hard to believe it ever happened.
SULU,"Captain, we're about to warp."
DESALLE,Large body ahead.
SPOCK,Collision course.
KIRK,"Hard to port, Mister Sulu."
SPOCK,"That was the planet Gothos, Captain."
KIRK,"Gothos? Mister Sulu, have we been going in circles?"
SULU,"No, sir. All instruments show on course."
SPOCK,"Gothos again, Captain."
KIRK,"Hard over, Mister Sulu."
SPOCK,Cat and mouse game.
KIRK,With us as the mouse.
DESALLE,There it is again. Dead ahead.
KIRK,"Ninety degrees to starboard, Mister Sulu."
SULU,"Turning, Captain. Nut not veering off from it."
KIRK,"Ninety degrees sub-port, Mister Sulu. Adjust."
SULU,"Turn completed, and still accelerating toward the planet."
SPOCK,Or it toward us.
KIRK,Decelerate into orbit. Prepare transporter room.
MCCOY,"Captain, you're not beaming down."
KIRK,"Yes, I am, Doctor McCoy. I am going to see our playful Mister"
TRELANE,The prisoner may approach the bench.
KIRK,Trelane.
TRELANE,Any attempt at demonstrations will weigh against you with the
KIRK,I've had enough of your games.
TRELANE,"Oh, the absurdity of these inferior beings. (reading from the"
KIRK,"I haven't come to plead in your court, Trelane."
TRELANE,I warn you. Anything you might say has already been taken down
KIRK,I've come for one purpose. To get back my ship.
TRELANE,Irrelevant.
KIRK,"We've made you angry with our will to survive, haven't we?"
TRELANE,Uncalled for.
KIRK,Then vent your anger on me alone. I was the one who led the
TRELANE,And did you really think that was the only medium of
KIRK,I took that chance. I'm willing to pay the price for chancing
TRELANE,"Oh, then you do admit to the charge?"
KIRK,"Yes, anything! Just allow the Enterprise to continue its journey."
You pompous TRELANE,Immaterial!
KIRK,Those people have done you no harm.
TRELANE,Inadmissible!
KIRK,"We're living beings, not playthings for your amusement."
TRELANE,"Silence! This trial is over. You are guilty. On all counts,"
TRELANE,"Until a moment ago, I didn't think it"
KIRK,I'm glad you weren't disappointed.
TRELANE,"Why, Captain, you're still angry. Would that I could have"
KIRK,"Trelane, if you think I'm going to cheerfully and obediently"
stick my head in that noose TRELANE,"You still haven't learned. You have no choice. Oh, this is"
KIRK,"That's your problem, Trelane. Everything is easy. It's given you"
TRELANE,"Take care, now."
KIRK,Here you have an opportunity to experience something really
TRELANE,The sport?
KIRK,Yes. The terror of murder. The suspense. The fun.
TRELANE,"Oh, I'm intrigued. Go ahead, Captain. What do you suggest?"
KIRK,"A personal conflict between us. Not like the duel before, but the"
TRELANE, Yes! Yes!
KIRK,That's the idea.
TRELANE,"Oh, then you approve?"
KIRK,"Yes, but you can do better than that. There's still not enough"
TRELANE,I know. That will be dull. We'll have to have something more
KIRK,It strikes me very well. But you'll have to make it worth my
TRELANE,The stakes?
KIRK,"Yes. While we're playing our game, free my ship. Let it continue"
TRELANE,Always back to your ship. Oh well. If it will add spice to the
KIRK,Let me notify the Enterprise that it can go.
TRELANE,Ah-ha!
TRELANE,"Ah ha! Captain Kirk. You must try harder, Captain. This is too"
KIRK,"Enterprise. Enterprise, can you hear me?"
TRELANE,"Touche, Captain. Touche. I must confess you scored first. But"
TRELANE,And now let's have at it again!
KIRK,Enterprise. Enterprise.
TRELANE,Ah-ha! Tallyho!  You made a noble
KIRK,"Remember, Trelane. You promised to let my ship go."
TRELANE,"Yes, but this is such sport. I must fetch all the others back"
KIRK,"You haven't won, Trelane."
TRELANE,I have. I could run you through!
KIRK,But you haven't won anything.
TRELANE,"On your knees, Captain!"
KIRK,No! Does it still taste as sweet?
TRELANE,I order you. You've been beaten.
KIRK,But I'm not defeated.
TRELANE,I order you! I order you! (Kirk disarms him and snaps the
KIRK,"You've got a lot to learn about winning, Trelane."
TRELANE,You dare to defy me!
KIRK,"In fact, you've got a lot to learn about everything, haven't you?"
TRELANE,I'll fix you for that! You cheated! You haven't played the
MOTHER,Trelane.
TRELANE,No! No. You said I could have this planet.
FATHER,This has gone far enough.
TRELANE,You always stop me when I'm having fun.
FATHER,You're disobedient and cruel. We've told you before.
MOTHER,"Time to come in now, Trelane."
TRELANE,"But I don't want to come in, and I won't. I'm a general, and I"
FATHER,"Enough, Trelane. Come along."
TRELANE,But why? I didn't do anything wrong. I was just playing.
FATHER,"We said, come along."
TRELANE,But I haven't finished studying my predators yet.
FATHER,This is not studying them.
MOTHER,"If you cannot take proper care of your pets, you cannot have"
TRELANE,"Oh, but I was winning. I was winning."
FATHER,"They're beings, Trelane. They have spirit. They're superior."
TRELANE,"No, no. You saw."
MOTHER,"You'll grow up, Trelane. You'll understand. Now come along."
TRELANE,"Oh, but you said I could. You promised. I never have any fun."
FATHER,"Stop that nonsense at once, or you'll not be permitted to make"
TRELANE,"Oh, but you saw. I was winning. I would have won. Honest."
FATHER,"No, Trelane."
MOTHER,"No, Trelane."
TRELANE,I would have. I would have. I would have. I would. I would. I
FATHER,"Captain, we regret that the life paths of yourself and your"
KIRK,Who are you? Who is Trelane?
MOTHER,You must forgive our child. The fault is ours for indulging him
FATHER,We would not have let him intercept you had we realised your
MOTHER,"Forgive us, Captain. We will maintain your life-support"
KIRK,Captain to Enterprise. Captain to Enterprise.
KIRK,"Beam me up, Mister Spock. We're free to go."
SULU,"Warping down, Captain. Our warp factor four."
DESALLE,"Approach channels clear, Captain."
UHURA,"Colony Beta Six clears us for normal approach, sir."
KIRK,"Normal orbit approach procedures, Mister Sulu."
SPOCK,Captain.
KIRK,"Mister Spock. Still thinking about Trelane, is that it?"
SPOCK,"For the record, how do we describe him? Pure mentality? Force of"
KIRK,"God of war, Mister Spock."
SPOCK,I hardly find that fitting.
KIRK,"Then a small boy, and a very naughty one at that."
SPOCK,It will make a strange entry in the library banks.
KIRK,"Then he was a very strange small boy. One the other hand, he was"
SPOCK,"Mischievous pranks, Captain?"
KIRK,Yes. Dipping little girls' curls in inkwells. Stealing apples
KIRK,"Forgive me, Mister Spock. I should have known better."
SPOCK,"I shall be delighted, Captain."
Original Airdate,"19 Jan, 1967"
KIRK,You'll enjoy Commodore Travers. He sets a good table.
MCCOY,I wonder if he brought his personal chef along with him to
KIRK,Probably. Rank hath its privileges.
MCCOY,How well we both know that.
KIRK,Scotty. Kirk here.
KIRK,"Good, Commodore. We're on our way."
KIRK,"We'll beam down immediately, Commodore. Kirk out."
SPOCK,Captain. I wonder why he's insistent that our tactical aides
KIRK,"This colony is isolated, exposed, out on the edge of now here. He"
SPOCK,"Perhaps, Captain, but nevertheless"
MCCOY,"Spock, isn't it enough the commodore is famous for his"
SPOCK,"Doctor, you are a sensualist."
MCCOY,"You bet your pointed ears I am. Ready whenever you are, Captain."
KIRK,Energise.
KIRK,Kirk to Enterprise. Red alert.
KIRK,Cestus Three has been destroyed.
KIRK,"Full alert. Tricorder readings, Mister Spock. Life detection."
SPOCK,"Those messages we got, Captain, the one directing us here"
KIRK,Faked. All this happened several days ago. (to a man in a yellow
SPOCK,"Captain, impulses that direction. Very weak, possibly a survivor."
KIRK,"Come on, Bones."
MCCOY,"Captain, over there."
MCCOY,"Careful, careful. Shock, radiation burns, internal injuries for"
KIRK,"Keep him alive, Bones. I want to know what's been happening here."
SPOCK,"Getting another life reading, Captain."
KIRK,Survivors?
SPOCK,"Not survivors. Not warm-blooded. Living creatures, but not human."
KIRK,Where?
SPOCK,"Azimuth ninety three degrees, range one five seven zero yards."
KIRK,O'Herlihy.
HERLIHY,"Captain, I see something."
KIRK,"Cover! Kirk to Enterprise, lock on transporters. Beam us up."
SULU,"Captain, we're coming under attack."
KIRK,Keep those screens up. Fire all phasers.
SULU,"Firing phasers, Captain. The alien has"
KIRK,Take all action necessary to protect the
SULU,"Are you under attack, Captain?"
KIRK,Keep those screens up. Worry about us when the ship is safe.
KIRK,"If they lower those screens to beam us up, they'll be open to"
SPOCK,"We're hopelessly outnumbered here, Captain. It's those"
KIRK,"We're stuck with it, Mister Spock. We'll have to make do with"
KIRK,"Kelowitz, Lang, flank out. Lay down fire on co-ordinates Mister"
KIRK,We're helpless down here. And the Enterprise
SPOCK,Sulu is an experienced combat officer.
KIRK,"It's my ship, Mister Spock. I should be there. We can't even get"
SPOCK,Nor can they at us at the moment. Not unless they moved their
KIRK,Can you remember the layout of this place? The arsenal?
SPOCK,About one hundred yards in that direction. But after an attack
as thorough as this oneKIRK,I'll risk it.
KIRK,Kirk here. Report.
SULU,"Captain, are you all right?"
